id,coin_rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,marketCap_to_supply
elrond-egld,68,EGLD,MultiversX,24184559.18984154,31415926.0,918867617.7478054,9630110.754877113,37.993978328691874,0.7725377265118206,38.24650564780323,37.993978328691874
dexe,69,DEXE,DeXe,57103769.03337428,0.0,912804498.2052509,5276365.507710772,15.985013137605026,-2.5364096953855544,16.231264267295657,15.985013137605025
reserve-rights,70,RSR,Reserve Rights,53834088904.0,100000000000.0,902572740.8649532,40284258.13311207,0.0167658217913648,0.2683933126694155,0.0166465791673449,0.0167658217913648
nexo,71,NEXO,Nexo,646145839.5746847,0.0,884104408.6925751,334217.45985218283,1.3682737774408993,-0.5998309403635682,1.383327879435631,1.368273777440899
chiliz,72,CHZ,Chiliz,9206791217.0,0.0,867130882.078503,28399946.482706275,0.0941838325254273,0.9620600857150116,0.0950566274060386,0.09418383252542731
conflux-network,73,CFX,Conflux,4821345927.98,0.0,856577984.214218,38997474.419724494,0.1776636642567356,0.1192700992381993,0.1774045445487109,0.1776636642567356
pendle,74,PENDLE,Pendle,162411217.07980657,0.0,856016300.5101131,1010857.4937868428,5.270672284227011,-0.9344101969519988,5.359009167552314,5.270672284227012
pancakeswap,75,CAKE,PancakeSwap,291798585.466303,450000000.0,805188348.3540839,24419041.39661001,2.7593977094418345,-1.9802443852809224,2.802463801446466,2.7593977094418345
mina,76,MINA,Mina,1203220818.8400393,0.0,789864977.6157591,13192832.92058324,0.6564588687695959,0.8294140558308989,0.6616153014432339,0.6564588687695959
ecash,77,XEC,eCash,19808201547584.0,21000000000000.0,761612913.2164437,8160449.70876244,3.84493721647e-05,2.750312529625192,3.86138331783e-05,3.8449372164699995e-05
compound,78,COMP,Compound,8868569.37848985,0.0,743361326.274526,15366777.722056909,83.81975655256208,-1.5776428593229823,85.05209702832971,83.81975655256208
superfarm,79,SUPER,SuperVerse,487976093.41691726,1000000000.0,743074600.3227779,4904418.300332336,1.5227684518714923,-1.9590302328884783,1.567945626027654,1.5227684518714923
gnosis-gno,80,GNO,Gnosis,2587295.12014964,0.0,737061339.3042971,3304750.5780317765,284.8771806370771,-0.4472003669441036,282.3860740265381,284.8771806370771
amp,81,AMP,Amp,80722685438.80898,0.0,651827127.872964,1656671.3917758008,0.0080748939945398,-0.2214893589933428,0.0081532713278906,0.0080748939945398
oasis-network,82,ROSE,Oasis,7064132681.0,0.0,649394692.4942715,14821769.200464966,0.0919284393172444,1.1917022525722576,0.0930492030054242,0.0919284393172444
livepeer,83,LPT,Livepeer,37107320.67378841,0.0,616358512.6102504,14706461.422231045,16.610159435349075,-0.3830576418215276,16.694572731666696,16.610159435349072
1inch,84,1INCH,1inch Network,1397410922.8482077,0.0,603676191.5006206,10954238.392868076,0.4319961878287066,0.3742729313715089,0.4346155193026058,0.43199618782870663
kava,85,KAVA,Kava,1082853845.0,0.0,595026001.3665816,8576328.10967816,0.5494979808346911,0.3284310767545383,0.5518934105772916,0.5494979808346911
biocoin,86,BIO,BioCoin,845785803.0641785,0.0,590049760.867984,189268341.00583905,0.6976349788921804,-6.211434067254552,0.7194810202572389,0.6976349788921805
telcoin,87,TEL,Telcoin,91860083810.97,100000000000.0,583936473.3451444,1517699.4585368887,0.0063568031850131,-0.9572195496892212,0.0063967776659064,0.0063568031850131
kusama,88,KSM,Kusama,15945649.60987006,0.0,578869972.431394,11056690.35038362,36.30268986175918,1.3867050971081942,36.24571124433418,36.30268986175918
nervos-network,89,CKB,Nervos Network,45705694300.5535,0.0,569131346.2947105,12252426.472711612,0.0124520884105204,-0.7847531602336777,0.0126266480854201,0.0124520884105204
nxm,90,NXM,NXM,6594067.84129139,0.0,543253877.0613072,741063.0154700798,82.38524233243491,1.2649954085401618,80.23459035638709,82.38524233243491
dash,91,DASH,Dash,12097091.13458789,18900000.0,522732681.0480128,33381589.116796248,43.21143614049665,0.0368480582619439,43.4281014427285,43.21143614049665
trust-wallet-token,92,TWT,Trust Wallet Token,416649900.0,0.0,520589520.0547615,2753941.517887299,1.2494651266081225,0.2473031325088384,1.2536252337798357,1.2494651266081225
synthetix-network-token,93,SNX,Synthetix,233716733.49,212424133.0,504723667.4228892,14044814.064987533,2.1595529763147434,-1.463224424345001,2.196167275646915,2.1595529763147434
trueusd,94,TUSD,TrueUSD,495601552.61,0.0,496075581.6882516,8094507.201986558,1.0009564721412902,0.1039926658410589,1.0007161862301277,1.00095647214129
theta-fuel,95,TFUEL,Theta Fuel,6802739487.0,0.0,481074079.1052722,1781753.4332537672,0.0707176983661659,1.812879619805684,0.0709006992598716,0.0707176983661659
sushiswap,96,SUSHI,SushiSwap,262631119.0938468,0.0,476082153.92158353,44921335.91934279,1.812740834232457,-0.0574508063692551,1.801886101864281,1.8127408342324567
horizen,97,ZEN,Horizen,15795559.375,21000000.0,466280681.44219,44968443.097513065,29.51973212042008,4.557672500820912,28.489688440558275,29.519732120420077
zilliqa,98,ZIL,Zilliqa,19373567220.90546,21000000000.0,461940741.0941685,11590161.71992794,0.02384386601739,1.0904091414598949,0.0241565514016837,0.023843866017389997
wootrade,99,WOO,WOO,1862116626.0737488,0.0,460995476.255264,2042110.0358910863,0.2475653081017098,-1.5909352694311194,0.2516454195062158,0.24756530810170982
holo,100,HOT,Holo,174843716635.2445,0.0,456080556.6774165,4164886.4362218506,0.0026085041284548,0.367567441378135,0.0026222949710013,0.0026085041284548
